tag,pattern
insurance_details,Details about my insurance coverage
insurance_details,Insurance requirements for hospital services
pharmacy_product_availability,Is [specific medication] available at pharmacies nearby?
pharmacy_product_availability,Check the availability of [brand name] at pharmacies
pharmacy_product_availability,Locate pharmacies with [specific product]
emergency_preparedness,What should I include in a medical emergency kit?
emergency_preparedness,Steps to take during a health emergency
emergency_preparedness,Emergency contact information
feedback_and_complaints,"I had a bad experience, how can I provide feedback?"
feedback_and_complaints,Complaints about hospital services
feedback_and_complaints,Share my dissatisfaction with a recent visit
post_appointment_follow_up,What should I do after my appointment?
post_appointment_follow_up,Post-appointment care instructions
post_appointment_follow_up,Follow-up procedures after seeing a doctor
hospital_facilities,Tell me about the facilities at the hospital
hospital_facilities,What facilities are available for patients?
hospital_facilities,Information about hospital amenities
hospital_facilities,Facilities for patients at the medical center
appointment_confirmation,Can you confirm my hospital appointment?
appointment_confirmation,Verify my scheduled appointment
appointment_confirmation,Check if my appointment is confirmed
cancel_appointment,I need to cancel my hospital appointment
cancel_appointment,Cancel the scheduled appointment
cancel_appointment,Cancle my appointment on [specific date]
cancel_hospital_appointment,I changed my mind about canceling the appointment
cancel_hospital_appointment,Continue with the scheduled appointment
cancel_hospital_appointment,Retain the existing appointment
cancel_hospital_appointment,Keep the appointment as is
health_insurance_plans,Tell me about available health insurance plans
health_insurance_plans,Information on health insurance
health_insurance_plans,Health insurance options at the hospital
health_insurance_plans,Available insurance policies
prescription_refill,How to refill prescriptions?
prescription_refill,Request prescription refill
prescription_refill,Prescription renewal process
prescription_refill,Renew my medications
hospital_rooms,Tell me about the types of rooms available
hospital_rooms,Room options for patients
hospital_rooms,Hospital accommodation details
hospital_rooms,Types of patient rooms
patient_rights,What are my rights as a patient?
patient_rights,Patient rights at the hospital
patient_rights,Understanding my rights as a healthcare consumer
patient_rights,Know my rights as a patient
hospital_billing,How does hospital billing work?
hospital_billing,Understanding medical bills
hospital_billing,Information on hospital charges
hospital_billing,Billing and payment details
hospital_wifi,Is there Wi-Fi available at the hospital?
hospital_wifi,Wi-Fi access for patients
hospital_wifi,Connect to hospital Wi-Fi
hospital_wifi,Hospital internet facilities
hospital_social_media,Connect with the hospital on social media
hospital_social_media,Hospital social media accounts
hospital_social_media,Social media presence
hospital_social_media,Find the hospital on social platforms
lab_test_information,Tell me about [specific lab test]
lab_test_information,Lab test details for [patient name]
lab_test_information,How to prepare for a lab test?
radiology_services,What radiology services are available?
radiology_services,Tell me about X-ray services
radiology_services,Radiology procedures at the hospital
patient_admissions,How to admit a patient?
patient_admissions,Patient admission process
patient_admissions,Admission requirements
medical_records,Access my medical records
medical_records,How to request medical records?
medical_records,Information on patient records
hospital_events_and_programs,Are there any upcoming hospital events?
hospital_events_and_programs,Tell me about health programs
hospital_events_and_programs,Hospital workshops
mental_health_services,Mental health support at the hospital
mental_health_services,Psychiatry services
mental_health_services,Counseling and therapy
dietary_services,Tell me about hospital meals
dietary_services,Dietary restrictions at the hospital
dietary_services,Nutritional advice
surgery_information,Tell me about upcoming surgeries
surgery_information,Surgery procedures at the hospital
surgery_information,How to prepare for surgery?
rehabilitation_services,Rehabilitation programs at the hospital
rehabilitation_services,Physical therapy services
rehabilitation_services,Recovery programs
maternity_services,Maternity ward facilities
maternity_services,Prenatal care information
maternity_services,Delivery room services
pediatric_care,Pediatric services at the hospital
pediatric_care,Children's ward facilities
pediatric_care,Pediatrician information
pharmacy_services,Prescription pick-up process
pharmacy_services,Pharmacy hours of operation
pharmacy_services,Medication availability
health_and_wellness_classes,Are there health and wellness classes?
health_and_wellness_classes,Join wellness programs
health_and_wellness_classes,Fitness classes at the hospital
volunteer_opportunities,Can I volunteer at the hospital?
volunteer_opportunities,Information on volunteer programs
volunteer_opportunities,Volunteer opportunities
volunteer_opportunities,Community service opportunities
community_outreach,Hospital community events
community_outreach,Community outreach programs
community_outreach,Health education in the community
hospital_technology,What technology does the hospital use?
hospital_technology,Digital health services
hospital_technology,Telemedicine options
special_events_and_celebrations,Hospital anniversaries
special_events_and_celebrations,Special celebrations at the hospital
special_events_and_celebrations,Events for patients
patient_education,Educational resources for patients
patient_education,Where can I find health information?
patient_education,Patient education materials
support_groups,Join a support group
support_groups,Support groups for patients
support_groups,Coping with illness
cafeteria_and_food_services,Hospital cafeteria hours
cafeteria_and_food_services,Food services for patients
cafeteria_and_food_services,Dietary restrictions
patient_advocacy,How does patient advocacy work?
patient_advocacy,Advocacy services for patients
patient_advocacy,Patient rights protection
interpreter_services,Interpreter services at the hospital
interpreter_services,Language assistance
interpreter_services,Translation support
financial_assistance,Financial assistance programs
financial_assistance,Help with medical bills
financial_assistance,Financial aid for patients
telehealth_services,Can I schedule a telehealth appointment?
telehealth_services,Telehealth services offered
telehealth_services,Remote medical consultations
wellness_checkups,Schedule a wellness checkup
wellness_checkups,Wellness exams for patients
wellness_checkups,Preventive healthcare appointments
health_insurance_assistance,Assistance with health insurance claims
health_insurance_assistance,Insurance-related queries
health_insurance_assistance,Navigating insurance coverage
spiritual_and_chaplain_services,Chaplain services at the hospital
spiritual_and_chaplain_services,Spiritual support for patients
spiritual_and_chaplain_services,Religious services
patient_portal_assistance,How to use the patient portal?
patient_portal_assistance,Accessing medical records online
patient_portal_assistance,Patient portal support
patient_rights_workshop,Participate in patient rights workshop
patient_rights_workshop,Understanding patient rights
patient_rights_workshop,Workshops for healthcare consumers
hospital_art_and_recreation,Art programs at the hospital
hospital_art_and_recreation,Recreational activities for patients
hospital_art_and_recreation,Hospital art exhibits
maternity_services,Maternity care at the hospital
maternity_services,Prenatal services
maternity_services,Delivery options
cancer_support_services,Support for cancer patients
cancer_support_services,Cancer treatment information
cancer_support_services,Cancer care resources
physical_therapy_services,Physical therapy options
physical_therapy_services,Rehabilitation services
physical_therapy_services,Therapeutic exercises
nutrition_and_dietary_advice,Nutritional advice for patients
nutrition_and_dietary_advice,Dietary recommendations
nutrition_and_dietary_advice,Healthy eating tips
senior_care_and_geriatrics,Elderly care services
senior_care_and_geriatrics,Geriatric healthcare
senior_care_and_geriatrics,Senior wellness programs
medical_research_participation,Participate in medical research
medical_research_participation,Clinical trials at the hospital
medical_research_participation,Contribute to medical studies
health_and_wellness_workshops,Attend health workshops
health_and_wellness_workshops,Wellness events at the hospital
health_and_wellness_workshops,Health education programs
rehabilitation_services,Rehabilitation programs
rehabilitation_services,Physical therapy services
rehabilitation_services,Recovery and rehabilitation
pediatric_care,Pediatric healthcare services
pediatric_care,Child wellness programs
pediatric_care,Specialized care for children
mental_health_support,Mental health services
mental_health_support,Counseling and therapy
mental_health_support,Emotional well-being support
diabetes_management,Diabetes care and management
diabetes_management,Blood sugar monitoring
diabetes_management,Diabetic patient support
home_healthcare_services,Home healthcare options
home_healthcare_services,At-home medical support
home_healthcare_services,Remote patient care
dental_services,Dental care at the hospital
dental_services,Oral health services
dental_services,Dental checkups
smoking_cessation_programs,Quit smoking programs
smoking_cessation_programs,Smoking cessation support
smoking_cessation_programs,Tobacco cessation resources
patient_and_family_counseling,Counseling services for patients
patient_and_family_counseling,Family therapy programs
patient_and_family_counseling,Emotional support
technology_assistance,Help with hospital technology
technology_assistance,Assistance with medical apps
technology_assistance,Technical support
patient_advocacy_workshops,Participate in advocacy workshops
patient_advocacy_workshops,Advocacy training for patients
patient_advocacy_workshops,Patient rights education
hospital_events_and_seminars,Upcoming hospital events
hospital_events_and_seminars,Health seminars and conferences
hospital_events_and_seminars,Community outreach programs
sleep_disorder_clinic,Sleep disorder evaluation
sleep_disorder_clinic,Clinic for sleep-related issues
sleep_disorder_clinic,Sleep study services
nutrition_and_diet_planning,Nutritional counseling services
nutrition_and_diet_planning,Diet planning for patients
nutrition_and_diet_planning,Healthy eating programs
community_health_fairs,Participate in health fairs
community_health_fairs,Community wellness events
community_health_fairs,Health checkup camps
alternative_medicine_services,Explore alternative medicine
alternative_medicine_services,Holistic health services
alternative_medicine_services,Alternative therapies
travel_health_information,Health advice for travelers
travel_health_information,Travel immunizations
travel_health_information,Medical advice for trips
language_interpretation_services,Language interpretation assistance
language_interpretation_services,Translation services for patients
language_interpretation_services,Multilingual support
cancer_support_services,Cancer patient support
cancer_support_services,Oncology counseling services
cancer_support_services,Support for cancer survivors
palliative_care_services,Palliative care information
palliative_care_services,Support for serious illnesses
palliative_care_services,End-of-life care services
art_and_music_therapy,Art therapy programs
art_and_music_therapy,Music therapy for patients
art_and_music_therapy,Creative expression sessions
hospital_safety_information,Hospital safety guidelines
hospital_safety_information,Emergency evacuation procedures
hospital_safety_information,Patient and visitor safety tips
fitness_and_exercise_programs,Fitness classes at the hospital
fitness_and_exercise_programs,Exercise programs for patients
fitness_and_exercise_programs,Wellness workouts
medical_equipment_loan_program,Loan program for medical equipment
medical_equipment_loan_program,Borrow medical devices
medical_equipment_loan_program,Assistive technology services
disease_prevention_workshops,Participate in disease prevention workshops
disease_prevention_workshops,Health education for prevention
disease_prevention_workshops,Preventive care programs
environmental_health_information,Environmental health tips
environmental_health_information,Hospital sustainability initiatives
environmental_health_information,Green healthcare practices
telemedicine_services,Access telemedicine services
telemedicine_services,Virtual healthcare consultations
telemedicine_services,Remote medical appointments
understanding_mental_illness,What is mental illness?
understanding_mental_illness,How prevalent is mental illness?
understanding_mental_illness,What are the symptoms of mental health disorders?
understanding_mental_illness,How is mental illness diagnosed?
understanding_mental_illness,Are there different types of mental illnesses?
prevalence_of_mental_illness,How common is mental illness?
prevalence_of_mental_illness,Does mental illness affect all age groups?
prevalence_of_mental_illness,Are certain mental illnesses more prevalent in specific populations?
symptoms_of_mental_health_disorders,What are the general symptoms of mental health disorders?
symptoms_of_mental_health_disorders,"How do symptoms vary in adults, older children, and younger children?"
treatment_and_recovery,What is the treatment for mental illness?
treatment_and_recovery,Can people with mental illness recover?
treatment_and_recovery,How effective is the treatment?
finding_right_professional,How can I find the right mental health professional?
finding_right_professional,What factors should I consider when choosing a professional?
medication_and_treatment_plans,What should I know about medication?
medication_and_treatment_plans,Can I stop taking medication if I feel better?
medication_and_treatment_plans,How is medication monitored?
types_of_therapy,What are the types of therapy?
types_of_therapy,How do different types of therapy work?
finding_health_professionals,"How can I find a doctor, psychiatrist, psychologist, or counsellor?"
finding_health_professionals,How can I see a psychiatrist?
finding_health_professionals,How can I see a psychologist?
finding_health_professionals,How can I see a counsellor?
finding_support_services,How can I find a support group?
finding_support_services,Where can I find child and youth mental health services?
finding_support_services,Where can older adults find help for mental health concerns?
finding_self_help,Where can I find self-help materials for depression?
finding_self_help,Where can I find self-help materials for anxiety?
coping_with_physical_health,I’m having a hard time coping with a physical health problem. Where can I find help?
substance_use_and_addiction,When is substance use a problem? Where can I go for help?
substance_use_and_addiction,How can I find help for an alcohol or drug use problem?
substance_use_and_addiction,How do I know if I'm drinking too much?
financial_assistance_and_resources,Can I get help paying for prescription medications?
financial_assistance_and_resources,How can I pay for mental health care?
financial_assistance_and_resources,How do I apply for income assistance?
mental_health_terminology,What is MSP?
mental_health_terminology,What is a referral?
professional_differences,What's the difference between a psychiatrist and a registered psychologist?
professional_differences,What's the difference between psychotherapy and counselling?
professional_differences,What's the difference between CBT and DBT?
professional_differences,What's the difference between antidepressants?
mental_health_conditions,I received a diagnosis but I don’t think it’s right. What can I do?
mental_health_conditions,I was prescribed an antidepressant or other psychiatric medication but I don’t think it’s working. What can I do?
concerns_for_others,An adult in my life seems ill and won’t find help. What can I do?
concerns_for_others,I’m worried about my child or teenager. Where can I find help?
concerns_for_others,Someone I care about has a brain injury. Where can I find more information?
concerns_for_others,Someone I love has been diagnosed with depression. How can I help?
concerns_for_others,Someone I love has been diagnosed with schizophrenia. How can I help?
concerns_for_others,"I’m a young person, and one of my parents has a mental illness. What can I do?"
suicide_prevention,What are some warning signs of suicidal thoughts?
suicide_prevention,How can I approach someone I suspect is struggling with suicidal thoughts?
suicide_prevention,Tell me about resources for suicide prevention and mental health support.
cannabis_information,What are the potential health risks of cannabis use?
cannabis_information,Is cannabis addiction a real concern?
cannabis_information,Tell me about the legal implications of cannabis use in different regions.
mental_health_vs_illness,Can mental health issues be prevented?
mental_health_vs_illness,How can I promote positive mental health in my daily life?
mental_health_vs_illness,Tell me about the stigma surrounding mental illness and ways to combat it.
depression_information,How can I support someone with depression?
depression_information,What are the treatment options for clinical depression?
depression_information,Tell me about the role of therapy in managing depression.
anxiety_vs_disorder,Can anxiety symptoms be managed without medication?
anxiety_vs_disorder,What are common triggers for anxiety disorders?
anxiety_vs_disorder,Tell me about coping strategies for anxiety.
stress_vs_anxiety,How can I distinguish between normal stress and problematic anxiety?
stress_vs_anxiety,Are there relaxation techniques for managing stress and anxiety?
stress_vs_anxiety,Tell me about the impact of chronic stress on mental health.
sadness_vs_depression,How long does typical sadness last?
sadness_vs_depression,What are the common signs of clinical depression?
sadness_vs_depression,Tell me about self-help strategies for managing mild depressive symptoms.
dysthymia_and_cyclothymic_disorders,What are the symptoms of dysthymia?
dysthymia_and_cyclothymic_disorders,Can cyclothymic disorder be managed with therapy alone?
dysthymia_and_cyclothymic_disorders,Tell me more about persistent depressive disorder.
rapid_cycling_and_prodrome,How is rapid cycling in bipolar disorder treated?
rapid_cycling_and_prodrome,Are there warning signs of a prodrome for mental health episodes?
rapid_cycling_and_prodrome,Tell me more about mood stabilizers for rapid cycling.
adhd_concerns,What are common signs of ADHD in adults?
adhd_concerns,Can ADHD be managed without medication?
adhd_concerns,Tell me about ADHD assessment and diagnosis.
substance_use_vs_addiction,How can I differentiate between casual substance use and addiction?
substance_use_vs_addiction,What are the long-term effects of substance addiction?
substance_use_vs_addiction,Tell me about interventions for substance abuse.
alcohol_and_drug_use_help,Where can I find local support groups for alcohol addiction?
alcohol_and_drug_use_help,What are the treatment options for drug use problems?
alcohol_and_drug_use_help,Tell me about the importance of seeking professional help for addiction.
underage_drug_use_concerns,How can I educate my children about the risks of drug use?
underage_drug_use_concerns,Are there community programs to prevent underage drug use?
underage_drug_use_concerns,Tell me about the impact of parental involvement on preventing drug use in teens.
